Compound,,READRetro Retroformer,TL 700 Epochs 1e-5,TL 700 Epochs 1e-6,TL 700 Epochs 1e-7,TL 1000 Epochs 1e-5,TL 1000 Epochs 1e-6,TL 1000 Epochs 1e-7,TL 700 Epochs ExtraLayer,TL 1000 Epochs ExtraLayer,Merge Dataset
afrormosin,top1,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.25
afrormosin,top3,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25
afrormosin,top5,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.25
afrormosin,top10,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.5
avenacinA1,top1,0.364,0.182,0.182,0.455,0.182,0.182,0.364,0.091,0.182,0.364
avenacinA1,top3,0.455,0.273,0.182,0.545,0.182,0.273,0.545,0.182,0.273,0.455
avenacinA1,top5,0.455,0.273,0.364,0.545,0.273,0.273,0.545,0.364,0.364,0.636
avenacinA1,top10,0.455,0.545,0.545,0.636,0.455,0.545,0.636,0.364,0.364,0.818
brucine,top1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091
brucine,top3,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.091
brucine,top5,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.091
brucine,top10,0.0,0.0,0.0,0.182,0.0,0.091,0.182,0.091,0.0,0.182
diaboline,top1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
diaboline,top3,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125
diaboline,top5,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125
diaboline,top10,0.0,0.0,0.0,0.25,0.0,0.125,0.25,0.125,0.0,0.25
falcarindiol,top1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
falcarindiol,top3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
falcarindiol,top5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
falcarindiol,top10,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
lycosantalonol,top1,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25
lycosantalonol,top3,0.5,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.25
lycosantalonol,top5,0.5,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.25
lycosantalonol,top10,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.25
momilactoneB,top1,0.091,0.0,0.091,0.0,0.0,0.091,0.0,0.0,0.0,0.182
momilactoneB,top3,0.091,0.0,0.091,0.0,0.0,0.091,0.0,0.091,0.0,0.182
momilactoneB,top5,0.182,0.0,0.091,0.0,0.0,0.091,0.091,0.091,0.0,0.182
momilactoneB,top10,0.364,0.0,0.091,0.182,0.0,0.091,0.182,0.091,0.0,0.364
vincamine,top1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2
vincamine,top3,0.3,0.1,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.3
vincamine,top5,0.3,0.1,0.3,0.3,0.2,0.4,0.2,0.2,0.3,0.3
vincamine,top10,0.3,0.3,0.3,0.5,0.2,0.4,0.5,0.4,0.3,0.5
