Compound,,Clean,Clean TL700 1000x
afrormosin,top1,0.0,0.0
afrormosin,top3,0.5,0.25
afrormosin,top5,0.5,0.5
afrormosin,top10,0.5,0.5
avenacinA1,top1,0.091,0.091
avenacinA1,top3,0.455,0.455
avenacinA1,top5,0.545,0.455
avenacinA1,top10,0.545,0.545
brucine,top1,0.0,0.0
brucine,top3,0.0,0.091
brucine,top5,0.091,0.091
brucine,top10,0.182,0.182
diaboline,top1,0.0,0.0
diaboline,top3,0.0,0.125
diaboline,top5,0.125,0.125
diaboline,top10,0.25,0.25
falcarindiol,top1,0.0,0.0
falcarindiol,top3,0.0,0.0
falcarindiol,top5,0.0,0.0
falcarindiol,top10,0.2,0.2
lycosantalonol,top1,0.25,0.0
lycosantalonol,top3,0.25,0.0
lycosantalonol,top5,0.25,0.0
lycosantalonol,top10,0.5,0.25
momilactoneB,top1,0.273,0.091
momilactoneB,top3,0.273,0.091
momilactoneB,top5,0.273,0.091
momilactoneB,top10,0.364,0.273
vincamine,top1,0.1,0.1
vincamine,top3,0.1,0.2
vincamine,top5,0.4,0.3
vincamine,top10,0.5,0.4
