Elemento 1,Elemento 2,Elemento 3,Elemento 4,Elemento 5,Elemento 6,Elemento 7,Elemento 8,Elemento 9
COc1ccc(-c2coc3cc(O)c(OC)cc3c2=O)cc1,0.1085,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,0.1082,O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1O,,,,
COc1ccc(-c2coc3cc(O)c(OC)cc3c2=O)cc1,0.1159,O=c1c(-c2ccc(O)cc2)coc2cc(O)c(O)cc12,0.1112,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,0.1096,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,,
COc1ccc(-c2coc3cc(O)c(OC)cc3c2=O)cc1,0.1085,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,0.1155,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,0.1087,O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1O,,
COc1ccc(-c2coc3cc(O)c(OC)cc3c2=O)cc1,0.1085,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,0.1155,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,0.1087,O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1O,,
COc1ccc(-c2coc3cc(O)c(OC)cc3c2=O)cc1,0.1159,O=c1c(-c2ccc(O)cc2)coc2cc(O)c(O)cc12,0.1104,O=C(/C=C/c1ccc(O)cc1)c1cc(O)c(O)cc1O,0.1025,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,,
COc1ccc(-c2coc3cc(O)c(OC)cc3c2=O)cc1,0.1126,COc1ccc(-c2coc3cc(O)c(O)cc3c2=O)cc1,0.1007,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,0.1096,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,,
COc1ccc(-c2coc3cc(O)c(OC)cc3c2=O)cc1,0.1073,COc1ccc(-c2coc3cc(OC)c(O)cc3c2=O)cc1,0.0982,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,0.1082,O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1O,,
COc1ccc(-c2coc3cc(O)c(OC)cc3c2=O)cc1,0.1085,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,0.1155,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,0.1091,O=C1c2c(O)cc(O)cc2OC[C@H]1c1ccc(O)cc1,0.1261,O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1O
COc1ccc(-c2coc3cc(O)c(OC)cc3c2=O)cc1,0.1085,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,0.1155,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,0.1091,O=C1c2c(O)cc(O)cc2OC[C@H]1c1ccc(O)cc1,0.1261,O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1O
COc1ccc(-c2coc3cc(O)c(OC)cc3c2=O)cc1,0.1159,O=c1c(-c2ccc(O)cc2)coc2cc(O)c(O)cc12,0.1112,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,0.1055,O=C1c2ccc(O)cc2OC[C@H]1c1ccc(O)cc1,0.1167,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O
