Elemento 1,Elemento 2,Elemento 3,Elemento 4,Elemento 5,Elemento 6,Elemento 7,Elemento 8,Elemento 9,Elemento 10,Elemento 11,Elemento 12,Elemento 13
COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,0.3333,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H](CC(=O)O)[C@H]5[C@@H]4[C@H]1C[C@@H]23,0.1998,C=C1[CH]OC=C1,0.0955,C=C(C)[C@H]1CC=C(C)[C@@H](O)C1,1.0000,CC(C)=CCC/C(C)=C/C=O,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,0.3333,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H](CC(=O)O)[C@H]5[C@@H]4[C@H]1C[C@@H]23,0.1998,C=C1[CH]OC=C1,0.0955,C=C(C)[C@H]1CC=C(C)[C@@H](O)C1,1.0000,CC(C)=CCC[C@H](C)CC=O,1.0000,C=C[C@](C)(O)CCC=C(C)C,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,0.3333,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H](CC(=O)O)[C@H]5[C@@H]4[C@H]1C[C@@H]23,0.1998,C=C1[CH]OC=C1,0.0955,C=C(C)[C@H]1CC=C(C)[C@@H](O)C1,1.0000,CC(C)C1CC=C(C=O)CC1,1.0000,C=C(C)[C@@H]1CC=C(CO)CC1,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,0.3333,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H](CC(=O)O)[C@H]5[C@@H]4[C@H]1C[C@@H]23,0.1998,C=C1[CH]OC=C1,0.0955,C=C(C)[C@H]1CC=C(C)[C@@H](O)C1,1.0000,CCCCCCCCCC=O,1.0000,CC1=CC[C@H](C(C)(C)O)CC1,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,0.3333,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H](CC(=O)O)[C@H]5[C@@H]4[C@H]1C[C@@H]23,0.1998,C=C1[CH]OC=C1,0.0955,C=C(C)[C@H]1CC=C(C)[C@@H](O)C1,1.0000,CC(C)=CCC[C@@H](C)CC=O,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,0.3333,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H](CC(=O)O)[C@H]5[C@@H]4[C@H]1C[C@@H]23,0.1998,C=C1[CH]OC=C1,0.0955,C=C(C)[C@H]1CC=C(C)[C@@H](O)C1,1.0000,CC(C)=CCC/C(C)=C/C=O,1.0000,CCCCCCCCCC(=O)O,1.0000,keggpath=kegg.jp/pathway/rn00061+C01571
COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,0.3333,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H](CC(=O)O)[C@H]5[C@@H]4[C@H]1C[C@@H]23,0.1998,C=C1[CH]OC=C1,0.0955,C=C(C)[C@H]1CC=C(C)[C@@H](O)C1,1.0000,CC(C)=CCC/C(C)=C/C=O,1.0000,CC(C)=CCC/C(C)=C/CO,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,0.3333,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H](CC(=O)O)[C@H]5[C@@H]4[C@H]1C[C@@H]23,0.1998,C=C1[CH]OC=C1,0.0955,C=C(C)[C@H]1CC=C(C)[C@@H](O)C1,1.0000,CC(C)=CCC/C(C)=C/C=O,1.0000,C=C(C)C1CC=C(C(=O)O)CC1,1.0000,keggpath=kegg.jp/pathway/rn00903+C11924
COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,0.3333,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H](CC(=O)O)[C@H]5[C@@H]4[C@H]1C[C@@H]23,0.1998,C=C1[CH]OC=C1,0.0955,C=C(C)[C@H]1CC=C(C)[C@@H](O)C1,1.0000,CC(C)=CCC/C(C)=C/C=O,1.0000,CC(C)=CCC/C(C)=C/CSC[C@H](N)C(=O)O,1.0000,N[C@@H](CS)C(=O)O
COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43,0.3333,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H](CC(=O)O)[C@H]5[C@@H]4[C@H]1C[C@@H]23,0.1998,C=C1[CH]OC=C1,0.0955,C=C(C)[C@H]1CC=C(C)[C@@H](O)C1,1.0000,CC(C)=CCC[C@H](C)CC=O,1.0000,CC(C)=CCC/C(C)=C\C=O,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
