Elemento 1,Elemento 2,Elemento 3,Elemento 4,Elemento 5,Elemento 6,Elemento 7,Elemento 8,Elemento 9,Elemento 10,Elemento 11
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2474,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCOC(=O)[C@@H]5[C@H]4C[C@H]2C[C@@H]13,1.0000,CC(=O)O,0.1053,CC(=O)C(=O)O,,,,
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2474,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCOC(=O)[C@@H]5[C@H]4C[C@H]2C[C@@H]13,1.0000,CC(=O)O,0.0976,*C(=O)CC(=O)O,,,,
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2474,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCOC(=O)[C@@H]5[C@H]4C[C@H]2C[C@@H]13,1.0000,CC(=O)O,0.0466,CC=O,0.1324,CC(=O)C(=O)O,,
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2474,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCOC(=O)[C@@H]5[C@H]4C[C@H]2C[C@@H]13,1.0000,CC(=O)O,0.0466,CC=O,0.1246,CC(=O)C(=O)O,,
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2512,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H]([C@H]12)[C@H]5C[C@H]43,0.3400,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]2C3)[C@H]5C[C@H]41,0.0880,CC(=O)O,0.1053,CC(=O)C(=O)O,,
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2512,CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H]([C@H]12)[C@H]5C[C@H]43,0.3400,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]2C3)[C@H]5C[C@H]41,0.0880,CC(=O)O,0.0976,*C(=O)CC(=O)O,,
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2474,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCOC(=O)[C@@H]5[C@H]4C[C@H]2C[C@@H]13,1.0000,CC(=O)O,0.1098,CC(=O)OP(=O)(O)O,0.0961,CC(=O)N[C@@H](CCC(=O)O)C(=O)O,0.1229,N[C@@H](CCC(=O)O)C(=O)O
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2474,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCOC(=O)[C@@H]5[C@H]4C[C@H]2C[C@@H]13,1.0000,CC(=O)O,0.1037,CC(=O)C(=O)O.CC(=O)OP(=O)(O)O,0.0961,CC(=O)N[C@@H](CCC(=O)O)C(=O)O,0.1229,N[C@@H](CCC(=O)O)C(=O)O
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2474,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCOC(=O)[C@@H]5[C@H]4C[C@H]2C[C@@H]13,1.0000,CC(=O)O,0.1098,CC(=O)OP(=O)(O)O,0.0961,CC(=O)N[C@@H](CCC(=O)O)C(=O)O,0.0893,C[C@H](N)C(=O)O
CC(=O)N1c2ccccc2[C@@]23CCN4CC5=CCO[C@@H](O)[C@@H]([C@H]12)[C@H]5C[C@H]43,0.2474,CC(=O)N1c2ccccc2[C@]23CCN4CC5=CCOC(=O)[C@@H]5[C@H]4C[C@H]2C[C@@H]13,1.0000,CC(=O)O,0.1037,CC(=O)C(=O)O.CC(=O)OP(=O)(O)O,0.0961,CC(=O)N[C@@H](CCC(=O)O)C(=O)O,0.0893,C[C@H](N)C(=O)O
