Elemento 1,Elemento 2,Elemento 3,Elemento 4,Elemento 5,Elemento 6,Elemento 7,Elemento 8,Elemento 9,Elemento 10,Elemento 11
CC(C)=CCCC(C)(O)C(=O)CCC1(C)C2CC3C(C2)C31C,0.1788,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C,1.0000,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,,,,,,
CC(C)=CCCC(C)(O)C(=O)CCC1(C)C2CC3C(C2)C31C,0.0994,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,,,,,,,,
CC(C)=CCCC(C)(O)C(=O)CCC1(C)C2CC3C(C2)C31C,0.0903,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,,,,,,,
CC(C)=CCCC(C)(O)C(=O)CCC1(C)C2CC3C(C2)C31C,0.0902,CC(=O)CCC=C(C)C.CC1(C)C2CC3CC(C2)C1(C)C3,1.0000,CC(C)=CCC/C(C)=C\C=O,1.0000,CCCCCCCCCC=O,1.0000,CC1=CC[C@H](C(C)(C)O)CC1,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
CC(C)=CCCC(C)(O)C(=O)CCC1(C)C2CC3C(C2)C31C,0.0902,CC(=O)CCC=C(C)C.CC1(C)C2CC3CC(C2)C1(C)C3,1.0000,CC(C)=CCC/C(C)=C\C=O,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,,,
CC(C)=CCCC(C)(O)C(=O)CCC1(C)C2CC3C(C2)C31C,0.0902,CC(=O)CCC=C(C)C.CC1(C)C2CC3CC(C2)C1(C)C3,1.0000,CC(C)=CCC/C(C)=C\C=O,1.0000,CC(C)=CCC/C(C)=C/C=O,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC(C)=CCCC(C)(O)C(=O)CCC1(C)C2CC3C(C2)C31C,0.0902,CC(=O)CCC=C(C)C.CC1(C)C2CC3CC(C2)C1(C)C3,1.0000,CC(C)=CCC/C(C)=C\C=O,1.0000,CC(C)=CCC[C@H](C)CC=O,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC(C)=CCCC(C)(O)C(=O)CCC1(C)C2CC3C(C2)C31C,0.0902,CC(=O)CCC=C(C)C.CC1(C)C2CC3CC(C2)C1(C)C3,1.0000,CC(C)=CCC/C(C)=C\C=O,1.0000,CC(C)=CCC[C@@H](C)CC=O,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC(C)=CCCC(C)(O)C(=O)CCC1(C)C2CC3C(C2)C31C,0.0902,CC(=O)CCC=C(C)C.CC1(C)C2CC3CC(C2)C1(C)C3,1.0000,CC(C)=CCC/C(C)=C\C=O,1.0000,CCCCCCCCCC=O,1.0000,CC1=CC[C@@H](C(C)(C)O)CC1,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
CC(C)=CCCC(C)(O)C(=O)CCC1(C)C2CC3C(C2)C31C,0.0902,CC(=O)CCC=C(C)C.CC1(C)C2CC3CC(C2)C1(C)C3,1.0000,CC(C)=CCC/C(C)=C\C=O,1.0000,CCCCCCCCCC=O,1.0000,CC(C)=CCC/C(C)=C\CO,1.0000,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
