Elemento 1,Elemento 2,Elemento 3,Elemento 4,Elemento 5,Elemento 6,Elemento 7,Elemento 8,Elemento 9
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1103,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CCC2=O,0.1301,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1103,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CCC2=O,0.1234,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1120,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(C(=O)OC)C2,0.0999,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1103,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CCC2=O,0.1210,CCC1=CCCN2CCc3c([nH]c4ccccc34)[C@@H]2C1,0.1333,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1092,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CC[C@@H]2C(=O)OC,0.1248,C=C[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CC[C@@H]2C(=O)OC,0.1256,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1103,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CCC2=O,0.1259,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CC[C@@H]2O,0.1164,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1103,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CCC2=O,0.1211,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CC[C@H]2O,0.1139,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1108,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C=C(C(=O)OC)C2,0.1030,CCC1C=CCN2CCc3c([nH]c4ccccc34)[C@@H]2C1,0.1315,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1103,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CCC2=O,0.1210,CCC1=CCCN2CCc3c([nH]c4ccccc34)[C@@H]2C1,0.1250,C=CC1=CCCN2CCc3c([nH]c4ccccc34)[C@@H]2C1,0.1301,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1103,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1CCC2=O,0.1210,CCC1=CCCN2CCc3c([nH]c4ccccc34)[C@@H]2C1,0.1250,C=CC1=CCCN2CCc3c([nH]c4ccccc34)[C@@H]2C1,0.1269,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
