Elemento 1,Elemento 2,Elemento 3,Elemento 4,Elemento 5,Elemento 6,Elemento 7,Elemento 8,Elemento 9
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.0958,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.0994,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.0963,CC[C@]12C=CCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.1253,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.1004,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.0958,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.0996,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.1004,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.0958,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.0989,CC[C@@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.1004,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.0958,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.0993,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3C1C(=O)C2,0.0991,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.0958,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(=O)C2,0.0987,CC[C@]12CCCN3CCc4c([nH]c5ccccc45)[C@@H]3C1C(=O)C2,0.0966,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,,
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.0965,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(C(=O)OC)=C2,0.0995,CCC1=C[C@@H]2c3[nH]c4ccccc4c3CCN2CCC1,0.2128,CCC1=CC2=NCCc3c([nH]c4ccccc34)[C@@H]2C1,0.1007,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.0965,CC[C@]12C=CCN3CCc4c([nH]c5ccccc45)[C@@H]3[C@@H]1C(C(=O)OC)=C2,0.0995,CCC1=C[C@@H]2c3[nH]c4ccccc4c3CCN2CCC1,0.2128,CCC1=CC2=NCCc3c([nH]c4ccccc34)[C@@H]2C1,0.1006,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.0965,CC[C@@]12C=C(C(=O)OC)[C@H]1[C@H]1c3[nH]c4ccccc4c3CCN1CCC2,0.0979,CCC1=C[C@@H]2c3[nH]c4ccccc4c3CCN2CCC1,0.2128,CCC1=CC2=NCCc3c([nH]c4ccccc34)[C@@H]2C1,0.1007,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,0.0965,CC[C@@]12C=C(C(=O)OC)[C@H]1[C@H]1c3[nH]c4ccccc4c3CCN1CCC2,0.0979,CCC1=C[C@@H]2c3[nH]c4ccccc4c3CCN2CCC1,0.2128,CCC1=CC2=NCCc3c([nH]c4ccccc34)[C@@H]2C1,0.1006,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
