internal case1 None
internal case2 None
internal case3 None
internal case4 None
internal case5 None
internal case6 None
internal case7 0 N=CN[C@@H](CC(=O)O)C(=O)O>0.7402>O=C(O)CC(=O)C(=O)O
internal case7 1 N=CN[C@@H](CC(=O)O)C(=O)O>3.0103>O=C(O)CCC(=O)O
internal case7 2 N=CN[C@@H](CC(=O)O)C(=O)O>0.8298>N=CN|N=CN>1.6873>NC(N)=O|NC(N)=O>1.5324>NC(=O)NCC(=O)O|NC(=O)NCC(=O)O>0.4845>NCC(=O)O
internal case7 3 N=CN[C@@H](CC(=O)O)C(=O)O>0.8298>N=CN|N=CN>4.0672>NC(=O)NCC(=O)O|NC(=O)NCC(=O)O>0.4845>NCC(=O)O
internal case7 4 N=CN[C@@H](CC(=O)O)C(=O)O>0.8298>N=CN|N=CN>1.6873>NC(N)=O|NC(N)=O>3.3073>CC(C)C[C@H](N)C(=O)O
internal case7 5 N=CN[C@@H](CC(=O)O)C(=O)O>0.8298>N=CN|N=CN>1.6873>NC(N)=O|NC(N)=O>3.3874>CSCC[C@H](N)C(=O)O
internal case7 6 N=CN[C@@H](CC(=O)O)C(=O)O>0.8298>N=CN|N=CN>0.6024>N=C(N)NCCC[C@H](N)C(=O)O|N=C(N)NCCC[C@H](N)C(=O)O>3.0502>NC(N)=O|NC(N)=O>1.5324>NC(=O)NCC(=O)O|NC(=O)NCC(=O)O>0.4845>NCC(=O)O
internal case7 7 N=CN[C@@H](CC(=O)O)C(=O)O>3.2813>N=CN.O=C(O)CC(=O)O|N=CN>1.6873>NC(N)=O|NC(N)=O>1.5324>NC(=O)NCC(=O)O|NC(=O)NCC(=O)O>0.4845>NCC(=O)O
internal case7 8 N=CN[C@@H](CC(=O)O)C(=O)O>0.8298>N=CN|N=CN>1.6873>NC(N)=O|NC(N)=O>3.6716>NC(=O)CNC(N)=O|NC(=O)CNC(N)=O>0.4720>NC(=O)NCC(=O)O|NC(=O)NCC(=O)O>0.4845>NCC(=O)O
internal case7 9 N=CN[C@@H](CC(=O)O)C(=O)O>0.8298>N=CN|N=CN>1.6873>NC(N)=O|NC(N)=O>1.5324>NC(=O)NCC(=O)O|NC(=O)NCC(=O)O>3.2374>NCC(=O)O
