internal case75 None
internal case76 0 O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.1005>O=C(O)C(=O)Cc1c[nH]c2ccccc12|O=C(O)C(=O)Cc1c[nH]c2ccccc12>0.1011>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case76 1 O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.1002>O=C(O)C(=O)Cc1c[nH]c2ccccc12|O=C(O)C(=O)Cc1c[nH]c2ccccc12>0.1011>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case76 2 O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.1002>Oc1c(O)c(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12|Oc1c(O)c(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12>0.0919>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case76 3 O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.0996>Oc1cc(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12|Oc1cc(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12>0.0867>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case76 4 O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.0996>Oc1cc(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12|Oc1cc(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12>0.2128>O=C(O)C(=O)Cc1c[nH]c2ccccc12|O=C(O)C(=O)Cc1c[nH]c2ccccc12>0.1011>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case76 5 O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.0996>O=C1C=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12|O=C1C=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.1939>O=C(O)C(=O)Cc1c[nH]c2ccccc12|O=C(O)C(=O)Cc1c[nH]c2ccccc12>0.1011>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case76 6 O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.1003>O=C1C(=O)C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12|O=C1C(=O)C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.1875>O=C(O)C(=O)Cc1c[nH]c2ccccc12|O=C(O)C(=O)Cc1c[nH]c2ccccc12>0.1011>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case76 7 O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.1002>Oc1c(O)c(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12|Oc1c(O)c(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12>0.1055>O=C(O)C(=O)Cc1c[nH]c2ccccc12|O=C(O)C(=O)Cc1c[nH]c2ccccc12>0.1011>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case77 0 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1017>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case77 1 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.0996>CC(=O)C(=O)O
internal case77 2 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1019>O=C(O)C(=O)Cc1c[nH]c2ccccc12|O=C(O)C(=O)Cc1c[nH]c2ccccc12>0.1011>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case77 3 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1014>CC(c1c[nH]c2ccccc12)[C@H](N)C(=O)O|CC(c1c[nH]c2ccccc12)[C@H](N)C(=O)O>0.1012>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case77 4 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1013>C[C@H](c1c[nH]c2ccccc12)[C@H](N)C(=O)O|C[C@H](c1c[nH]c2ccccc12)[C@H](N)C(=O)O>0.1012>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case77 5 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.0909>O=C(O)C(=O)C(O)C(=O)O|O=C(O)C(=O)C(O)C(=O)O>0.1108>O=C(O)CC(=O)C(=O)O
internal case77 6 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.0909>O=C(O)C(=O)C(O)C(=O)O|O=C(O)C(=O)C(O)C(=O)O>0.1105>O=CC(=O)O
internal case77 7 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1013>C[C@H](c1c[nH]c2ccccc12)[C@H](N)C(=O)O|C[C@H](c1c[nH]c2ccccc12)[C@H](N)C(=O)O>0.0987>CC(C)C[C@H](N)C(=O)O
internal case77 8 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1013>CC(C(=O)O)c1c[nH]c2ccccc12|CC(C(=O)O)c1c[nH]c2ccccc12>0.0984>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case77 9 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1014>CC(c1c[nH]c2ccccc12)[C@H](N)C(=O)O|CC(c1c[nH]c2ccccc12)[C@H](N)C(=O)O>0.0982>CC(C)[C@H](N)C(=O)O
internal case78 0 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.1010>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case78 1 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.0998>COn1cc(C[C@H](N)C(=O)O)c2ccc(O)cc21|COn1cc(C[C@H](N)C(=O)O)c2ccc(O)cc21>0.1631>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case78 2 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.0998>COn1cc(C[C@H](N)C(=O)O)c2cc(O)ccc21|COn1cc(C[C@H](N)C(=O)O)c2cc(O)ccc21>0.1133>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
