internal case75 None
internal case76 0 O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.1024>Oc1c(O)c(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12|Oc1c(O)c(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12>0.1298>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case76 1 O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.1048>O=C(O)C(=O)Cc1c[nH]c2ccccc12|O=C(O)C(=O)Cc1c[nH]c2ccccc12>0.1106>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case76 2 O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.1019>O=C(O)C(=O)Cc1c[nH]c2ccccc12|O=C(O)C(=O)Cc1c[nH]c2ccccc12>0.1106>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case76 3 O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.0961>Oc1cc(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12|Oc1cc(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12>0.1018>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case76 4 O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12>0.1024>Oc1c(O)c(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12|Oc1c(O)c(-c2c[nH]c3ccccc23)c(O)c(O)c1-c1c[nH]c2ccccc12>0.1452>O=c1c(-c2c[nH]c3ccccc23)c(-c2c[nH]c3ccccc23)c(=O)c1=O|O=c1c(-c2c[nH]c3ccccc23)c(-c2c[nH]c3ccccc23)c(=O)c1=O>0.1072>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case77 0 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1179>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case77 1 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.0966>CC(=O)C(=O)O
internal case77 2 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1140>C[C@H](c1c[nH]c2ccccc12)[C@H](N)C(=O)O|C[C@H](c1c[nH]c2ccccc12)[C@H](N)C(=O)O>0.1201>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case77 3 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1202>O=C(O)C(=O)Cc1c[nH]c2ccccc12|O=C(O)C(=O)Cc1c[nH]c2ccccc12>0.1106>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case77 4 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1146>CC(c1c[nH]c2ccccc12)[C@H](N)C(=O)O|CC(c1c[nH]c2ccccc12)[C@H](N)C(=O)O>0.1120>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case77 5 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1139>CC(C(=O)O)c1c[nH]c2ccccc12|CC(C(=O)O)c1c[nH]c2ccccc12>0.1002>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case77 6 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1033>CC(=O)c1c[nH]c2ccccc12|CC(=O)c1c[nH]c2ccccc12>0.1055>C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
internal case77 7 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1140>C[C@H](c1c[nH]c2ccccc12)[C@H](N)C(=O)O|C[C@H](c1c[nH]c2ccccc12)[C@H](N)C(=O)O>0.0946>CC(C)C[C@H](N)C(=O)O
internal case77 8 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1146>CC(c1c[nH]c2ccccc12)[C@H](N)C(=O)O|CC(c1c[nH]c2ccccc12)[C@H](N)C(=O)O>0.0819>CC(C)[C@H](N)C(=O)O
internal case77 9 CC(C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1092>C[C@H](c1c[nH]c2ccccc12)[C@H](O)C(=O)O|C[C@H](c1c[nH]c2ccccc12)[C@H](O)C(=O)O>0.1309>C[C@@H](C(=O)C(=O)O)c1c[nH]c2ccccc12|C[C@@H](C(=O)C(=O)O)c1c[nH]c2ccccc12>0.1052>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
